Date,State,TotalSamples,Negative,Positive
2/5/2021,Andhra Pradesh,16602873,15457851,
2/5/2021,Arunachal Pradesh,459804,428546,
2/5/2021,Assam,8682755,,
2/5/2021,Bihar,26618969,,
2/5/2021,Chandigarh,412497,367088,
2/5/2021,Chhattisgarh,7309395,,
2/5/2021,Delhi,17303562,,
2/5/2021,Goa,663507,,
2/5/2021,Gujarat,18328441,,
2/5/2021,Haryana,7495503,,
2/5/2021,Himachal Pradesh,1531034,1416323,
2/5/2021,Jammu and Kashmir,7348647,7165161,
2/5/2021,Jharkhand,6977983,6733511,244472
2/5/2021,Karnataka,25933338,,
2/5/2021,Kerala,16058633,,
2/5/2021,Lakshadweep,80697,,
2/5/2021,Madhya Pradesh,7869034,7151173,
2/5/2021,Maharashtra,27652758,,
2/5/2021,Manipur,618926,,
2/5/2021,Meghalaya,467645,450216,
2/5/2021,Mizoram,308827,,
2/5/2021,Nagaland,148118,,
2/5/2021,Odisha,10180678,,
2/5/2021,Puducherry,814877,742031,
2/5/2021,Punjab,7340768,,
2/5/2021,Rajasthan,8833897,,
2/5/2021,Sikkim,95254,,
2/5/2021,Tamil Nadu,22956942,,
2/5/2021,Telangana,13060114,,
2/5/2021,Tripura,714957,679371,35586
2/5/2021,Uttar Pradesh,41362046,,
2/5/2021,Uttarakhand,3841463,3649843,
2/5/2021,West Bengal,10545059,,
1/5/2021,Andhra Pradesh,16488574,15367472,
1/5/2021,Arunachal Pradesh,457369,426217,
1/5/2021,Assam,8658937,,
1/5/2021,Bihar,26529576,,
1/5/2021,Chandigarh,408487,363939,
1/5/2021,Chhattisgarh,7267363,,
1/5/2021,Delhi,17231565,,
1/5/2021,Goa,658713,,
1/5/2021,Gujarat,18190727,,
1/5/2021,Haryana,7445273,,
1/5/2021,Himachal Pradesh,1521350,1408695,
1/5/2021,Jammu and Kashmir,7312926,7133011,
1/5/2021,Jharkhand,6952562,6712828,239734
1/5/2021,Karnataka,25774973,,
1/5/2021,Kerala,15945998,,
1/5/2021,Ladakh,201519,181610,
1/5/2021,Lakshadweep,78748,,
1/5/2021,Madhya Pradesh,7808547,7103348,
1/5/2021,Maharashtra,27395288,,
1/5/2021,Manipur,616666,,
1/5/2021,Meghalaya,464863,447755,
1/5/2021,Mizoram,306714,,
1/5/2021,Nagaland,147577,,
1/5/2021,Odisha,10134118,,
1/5/2021,Puducherry,809704,,
1/5/2021,Punjab,7281978,,
1/5/2021,Rajasthan,8749162,,
1/5/2021,Sikkim,94455,,
1/5/2021,Tamil Nadu,22813859,,
1/5/2021,Telangana,12983784,,
1/5/2021,Tripura,709639,674300,33622
1/5/2021,Uttar Pradesh,41064661,,
1/5/2021,Uttarakhand,3815200,3629186,
1/5/2021,West Bengal,10488850,,
30-04-2021,Andaman and Nicobar Islands,370896,,5949
30-04-2021,Andhra Pradesh,16390360,15288670,
30-04-2021,Arunachal Pradesh,453906,422980,
30-04-2021,Assam,8604935,,
30-04-2021,Bihar,26433890,,
30-04-2021,Chandigarh,404615,360875,
30-04-2021,Chhattisgarh,7206500,,
30-04-2021,Delhi,17151785,,
30-04-2021,Goa,652816,,
30-04-2021,Gujarat,18039956,,
30-04-2021,Haryana,7394450,,
30-04-2021,Himachal Pradesh,1509568,1398490,
30-04-2021,Jammu and Kashmir,7268521,7092438,
30-04-2021,Jharkhand,6921267,6687856,233411
